pseudo_id,tracklet_id
429,66.130/089/0
430,66.130/089/1
431,66.130/089/2
432,66.130/089/3
433,66.130/089/4
434,66.130/089/5
435,66.130/089/6
436,66.130/089/7
437,66.130/089/8
438,66.130/089/9
439,66.130/090/0
440,66.130/090/1
441,66.130/090/2
442,66.130/091/0
443,66.130/091/1
444,66.130/091/2
445,66.130/091/3
446,66.130/091/4
447,66.130/091/5
448,66.130/091/6
449,66.130/091/7
450,66.130/091/8
451,66.130/092/0
452,66.130/092/1
453,66.130/092/2
454,66.130/093/0
455,66.130/094/0
456,66.130/094/1
457,66.130/095/0
458,66.130/095/1
459,66.130/095/2
460,66.130/096/0
461,66.130/096/1
462,66.130/096/2
463,66.130/096/3
464,66.130/097/0
465,66.130/097/1
466,66.130/097/2
467,66.130/097/3
468,66.130/098/0
469,66.130/099/0
470,66.130/100/0
471,66.130/100/1
472,66.130/100/2
473,66.130/100/3
474,66.133/001/0
475,66.133/001/1
476,66.133/001/2
477,66.133/002/0
478,66.133/002/1
479,66.133/002/2
480,66.133/003/0
481,66.133/006/0
482,66.133/006/1
483,66.133/007/0
484,66.133/007/1
485,66.133/008/0
486,66.133/008/1
487,66.133/008/2
488,66.133/008/3
489,66.133/009/0
490,66.133/009/1
491,66.133/009/2
492,66.133/009/3
493,66.133/009/4
494,66.133/009/5
495,66.133/009/6
496,66.133/009/7
497,66.133/009/8
498,66.133/009/9
499,66.133/009/10
500,66.133/009/11
501,66.133/012/0
502,66.133/012/1
503,66.133/012/2
504,66.133/013/0
505,66.133/013/1
506,66.133/013/2
507,66.133/014/0
508,66.133/014/1
509,66.133/014/2
510,66.133/014/3
511,66.133/014/4
512,66.133/015/0
513,66.133/015/1
514,66.133/015/2
515,66.133/015/3
516,66.133/015/4
517,66.133/015/5
518,66.133/015/6
519,66.133/015/7
520,66.133/015/8
521,66.133/016/0
522,66.133/016/1
523,66.133/016/2
524,66.133/016/3
525,66.133/016/4
526,66.133/016/5
527,66.133/016/6
528,66.133/016/7
529,66.133/016/8
530,66.133/016/9
531,66.133/016/10
532,66.133/017/0
533,66.133/017/1
534,66.133/019/0
535,66.133/019/1
536,66.133/019/2
537,66.133/019/3
538,66.133/019/4
539,66.133/019/5
540,66.133/019/6
541,66.133/019/7
542,66.133/019/8
543,66.133/019/9
544,66.133/019/10
545,66.133/019/11
546,66.133/019/12
547,66.133/019/13
548,66.133/019/14
549,66.133/019/15
550,66.133/019/16
551,66.133/023/0
552,66.133/023/1
553,66.133/025/0
554,66.133/025/1
555,66.133/028/0
556,66.133/032/0
557,66.133/039/0
558,66.133/039/1
559,66.133/039/2
560,66.133/039/3
561,66.133/039/4
562,66.133/039/5
563,66.133/039/6
564,66.133/039/7
565,66.133/040/0
566,66.133/040/1
567,66.133/042/0
568,66.133/043/0
569,66.133/043/1
570,66.133/043/2
571,66.133/043/3
572,66.133/043/4
573,66.133/044/0
574,66.133/046/0
575,66.133/046/1
576,66.133/046/2
577,66.133/058/0
578,66.133/059/0
579,66.133/059/1
580,66.133/060/0
581,66.133/060/1
582,66.133/060/2
583,66.133/069/0
584,66.133/073/0
585,66.133/074/0
586,66.133/075/0
587,66.133/075/1
588,66.133/075/2
589,66.133/078/0
590,66.133/078/1
591,66.133/078/2
592,66.133/101/0
593,66.133/101/1
594,66.139/001/0
595,66.139/001/1
596,66.139/001/2
597,66.139/001/3
598,66.139/001/4
599,66.139/001/5
600,66.139/001/6
601,66.139/001/7
602,66.139/001/8
603,66.139/001/9
604,66.139/001/10
605,66.139/001/11
606,66.139/001/12
607,66.139/001/13
608,66.139/001/14
609,66.139/001/15
610,66.139/001/16
611,66.139/001/17
612,66.139/003/0
613,66.139/003/1
614,66.139/003/2
615,66.139/003/3
616,66.139/003/4
617,66.139/003/5
618,66.139/004/0
619,66.139/004/1
620,66.139/004/2
621,66.139/004/3
622,66.139/004/4
623,66.139/011/0
624,66.139/013/0
625,66.139/013/1
626,66.139/013/2
627,66.139/013/3
628,66.139/013/4
629,66.139/013/5
630,66.139/017/0
631,66.139/019/0
632,66.139/025/0
633,66.139/025/1
634,66.139/028/0
635,66.139/033/0
636,66.139/033/1
637,66.139/033/2
638,66.139/033/3
639,66.139/033/4
640,66.139/033/5
641,66.139/033/6
642,66.139/033/7
643,66.139/033/8
644,66.139/033/9
645,66.139/035/0
646,66.139/035/1
647,66.139/035/2
648,66.139/035/3
649,66.139/035/4
650,66.139/035/5
651,66.139/037/0
652,66.139/037/1
653,66.139/038/0
654,66.139/044/0
655,66.139/044/1
656,66.139/044/2
657,66.139/046/0
658,66.139/046/1
659,66.139/046/2
660,66.139/046/3
661,66.139/046/4
662,66.139/047/0
663,66.139/050/0
664,66.139/050/1
665,66.139/050/2
666,66.139/050/3
667,66.139/050/4
668,66.139/050/5
669,66.139/050/6
670,66.139/050/7
671,66.139/050/8
672,66.139/051/0
673,66.139/053/0
674,66.139/055/0
675,66.139/056/0
676,66.139/057/0
677,66.139/058/0
678,66.139/058/1
679,66.139/060/0
680,66.139/061/0
681,66.139/061/1
682,66.139/061/2
683,66.139/061/3
684,66.139/061/4
685,66.139/061/5
686,66.139/061/6
687,66.139/061/7
688,66.139/061/8
689,66.139/061/9
690,66.139/061/10
691,66.139/061/11
692,66.139/061/12
693,66.139/061/13
694,66.139/061/14
695,66.139/061/15
696,66.139/061/16
697,66.139/066/0
698,66.139/067/0
699,66.139/068/0
700,66.139/068/1
701,66.139/068/2
702,66.139/068/3
703,66.139/068/4
704,66.139/071/0
705,66.139/081/0
706,66.139/081/1
707,66.139/081/2
708,66.139/081/3
709,66.139/081/4
710,66.139/081/5
711,66.139/081/6
712,66.139/081/7
713,66.139/098/0
714,66.139/099/0
715,66.139/099/1
716,66.139/099/2
717,66.139/099/3
718,66.139/099/4
719,66.3/001/0
720,66.3/002/0
721,66.3/003/0
722,66.3/003/1
723,66.3/003/2
724,66.3/003/3
725,66.3/003/4
726,66.3/003/5
727,66.3/003/6
728,66.3/003/7
729,66.3/003/8
730,66.3/003/9
731,66.3/003/10
732,66.3/003/11
733,66.3/003/12
734,66.3/003/13
735,66.3/003/14
736,66.3/003/15
737,66.3/003/16
738,66.3/003/17
739,66.3/003/18
740,66.3/003/19
741,66.3/003/20
742,66.3/003/21
743,66.3/003/22
744,66.3/003/23
745,66.3/003/24
746,66.3/003/25
747,66.3/003/26
748,66.3/003/27
749,66.3/003/28
750,66.3/003/29
751,66.3/003/30
752,66.3/003/31
753,66.3/003/32
754,66.3/003/33
755,66.3/003/34
756,66.3/003/35
757,66.3/003/36
758,66.3/003/37
759,66.3/003/38
760,66.3/003/39
761,66.3/003/40
762,66.3/003/41
763,66.3/006/0
764,66.3/006/1
765,66.3/006/2
766,66.3/006/3
767,66.3/006/4
768,66.3/006/5
769,66.3/006/6
770,66.3/006/7
771,66.3/006/8
772,66.3/006/9
773,66.3/006/10
774,66.3/006/11
775,66.3/006/12
776,66.3/006/13
777,66.3/006/14
778,66.3/006/15
779,66.3/006/16
780,66.3/006/17
781,66.3/006/18
782,66.3/006/19
783,66.3/007/0
784,66.3/007/1
785,66.3/008/0
786,66.3/008/1
787,66.3/008/2
788,66.3/008/3
789,66.3/008/4
790,66.3/008/5
791,66.3/008/6
792,66.3/008/7
793,66.3/009/0
794,66.3/011/0
795,66.3/011/1
796,66.3/011/2
797,66.3/011/3
798,66.3/011/4
799,66.3/011/5
800,66.3/011/6
801,66.3/011/7
802,66.3/011/8
803,66.3/012/0
804,66.3/012/1
805,66.3/012/2
806,66.3/013/0
807,66.3/016/0
808,66.3/017/0
809,66.3/017/1
810,66.3/019/0
811,66.3/019/1
812,66.3/019/2
813,66.3/022/0
814,66.3/022/1
815,66.3/022/2
816,66.3/023/0
817,66.3/023/1
818,66.3/023/2
819,66.3/023/3
820,66.3/023/4
821,66.3/023/5
822,66.3/023/6
823,66.3/023/7
824,66.3/023/8
825,66.3/023/9
826,66.3/023/10
827,66.3/023/11
828,66.3/023/12
829,66.3/023/13
830,66.3/023/14
831,66.3/023/15
832,66.3/023/16
833,66.3/023/17
834,66.3/025/0
835,66.3/028/0
836,66.3/028/1
837,66.3/028/2
838,66.3/028/3
839,66.3/028/4
840,66.3/028/5
841,66.3/028/6
842,66.3/029/0
843,66.3/030/0
844,66.3/031/0
845,66.3/031/1
846,66.3/032/0
847,66.3/032/1
848,66.3/032/2
849,66.3/032/3
850,66.3/032/4
851,66.3/032/5
852,66.3/032/6
853,66.3/032/7
854,66.3/032/8
855,66.3/032/9
856,66.3/032/10
857,66.3/032/11
858,66.3/032/12
859,66.3/032/13
860,66.3/032/14
861,66.3/032/15
862,66.3/032/16
863,66.3/032/17
864,66.3/032/18
865,66.3/033/0
866,66.3/033/1
867,66.3/034/0
868,66.3/034/1
869,66.3/034/2
870,66.3/034/3
871,66.3/034/4
872,66.3/034/5
873,66.3/034/6
874,66.3/034/7
875,66.3/034/8
876,66.3/034/9
877,66.3/034/10
878,66.3/034/11
879,66.3/034/12
880,66.3/035/0
881,66.3/035/1
882,66.3/035/2
883,66.3/035/3
884,66.3/035/4
885,66.3/035/5
886,66.3/035/6
887,66.3/035/7
888,66.3/035/8
889,66.3/035/9
890,66.3/037/0
891,66.3/038/0
892,66.3/039/0
893,66.3/040/0
894,66.3/040/1
895,66.3/042/0
896,66.3/042/1
897,66.3/042/2
898,66.3/042/3
899,66.3/042/4
900,66.3/042/5
901,66.3/042/6
902,66.3/042/7
903,66.3/043/0
904,66.3/044/0
905,66.3/045/0
906,66.3/045/1
907,66.3/045/2
908,66.3/045/3
909,66.3/045/4
910,66.3/045/5
911,66.3/046/0
912,66.3/046/1
913,66.3/046/2
914,66.3/046/3
915,66.3/046/4
916,66.3/046/5
917,66.3/046/6
918,66.3/046/7
919,66.3/046/8
920,66.3/046/9
921,66.3/046/10
922,66.3/046/11
923,66.3/047/0
924,66.3/048/0
925,66.3/049/0
926,66.3/050/0
927,66.3/050/1
928,66.3/050/2
929,66.3/050/3
930,66.3/050/4
931,66.3/050/5
932,66.3/051/0
933,66.3/052/0
934,66.3/052/1
935,66.3/052/2
936,66.3/052/3
937,66.3/052/4
938,66.3/052/5
939,66.3/052/6
940,66.3/052/7
941,66.3/052/8
942,66.3/052/9
943,66.3/053/0
944,66.3/054/0
945,66.3/054/1
946,66.3/054/2
947,66.3/054/3
948,66.3/054/4
949,66.3/055/0
950,66.3/055/1
951,66.3/055/2
952,66.3/055/3
953,66.3/056/0
954,66.3/056/1
955,66.3/056/2
956,66.3/056/3
957,66.3/056/4
958,66.3/056/5
959,66.3/056/6
960,66.3/056/7
961,66.3/056/8
962,66.3/057/0
963,66.3/058/0
964,66.3/059/0
965,66.3/060/0
966,66.3/060/1
967,66.3/061/0
968,66.3/061/1
969,66.3/062/0
970,66.3/063/0
971,66.3/064/0
972,66.33/001/0
973,66.33/003/0
974,66.33/003/1
975,66.33/003/2
976,66.33/003/3
977,66.33/004/0
978,66.33/004/1
979,66.33/004/2
980,66.33/008/0
981,66.33/008/1
982,66.33/008/2
983,66.33/008/3
984,66.33/008/4
985,66.33/008/5
986,66.33/008/6
987,66.33/011/0
988,66.33/012/0
989,66.33/012/1
990,66.33/012/2
991,66.33/012/3
992,66.33/012/4
993,66.33/015/0
994,66.33/017/0
995,66.33/019/0
996,66.33/019/1
997,66.33/019/2
998,66.33/021/0
999,66.33/021/1
1000,66.33/021/2
1001,66.33/021/3
1002,66.33/021/4
1003,66.33/021/5
1004,66.33/021/6
1005,66.33/021/7
1006,66.33/021/8
1007,66.33/021/9
1008,66.33/021/10
1009,66.33/025/0
1010,66.33/028/0
1011,66.33/028/1
1012,66.33/029/0
1013,66.33/029/1
1014,66.33/030/0
1015,66.33/030/1
1016,66.33/033/0
1017,66.33/034/0
1018,66.33/034/1
1019,66.33/034/2
1020,66.33/035/0
1021,66.33/035/1
1022,66.33/035/2
1023,66.33/035/3
1024,66.33/035/4
1025,66.33/035/5
1026,66.33/037/0
1027,66.33/037/1
1028,66.33/042/0
1029,66.33/042/1
1030,66.33/042/2
1031,66.33/043/0
1032,66.33/043/1
1033,66.33/044/0
1034,66.33/045/0
1035,66.33/045/1
1036,66.33/046/0
1037,66.33/046/1
1038,66.33/046/2
1039,66.33/046/3
1040,66.33/046/4
1041,66.33/046/5
1042,66.33/046/6
1043,66.33/046/7
1044,66.33/046/8
1045,66.33/046/9
1046,66.33/046/10
1047,66.33/046/11
1048,66.33/047/0
1049,66.33/047/1
1050,66.33/047/2
1051,66.33/047/3
1052,66.33/047/4
1053,66.33/048/0
1054,66.33/050/0
1055,66.33/051/0
1056,66.33/054/0
1057,66.33/056/0
1058,66.33/056/1
1059,66.33/056/2
1060,66.33/056/3
1061,66.33/057/0
1062,66.33/057/1
1063,66.33/057/2
1064,66.33/057/3
1065,66.33/057/4
1066,66.33/057/5
1067,66.33/057/6
1068,66.33/057/7
1069,66.33/057/8
1070,66.33/057/9
1071,66.33/058/0
1072,66.33/060/0
1073,66.33/060/1
1074,66.33/061/0
1075,66.33/065/0
1076,66.33/066/0
1077,66.33/067/0
1078,66.33/068/0
